article_id,store_id,promo_year,event_code,promo_type,start_date,end_date,is_in_flyer,flyer_code
7494981,228,2017,D2,11,2017-11-30,2017-12-08,f,
4055659,228,2017,D3,04,2017-12-09,2017-12-14,t,
1843778,228,2017,D4,11,2017-12-15,2017-12-31,t,
1843778,228,2017,D2,11,2017-11-30,2017-12-08,t,
9720637,228,2017,D2,11,2017-11-30,2017-12-08,f,
1304453,228,2017,D2,11,2017-11-30,2017-12-08,t,
7339367,228,2017,D2,15,2017-11-30,2017-12-08,f,
5265996,228,2017,L3,10,2017-12-01,2017-12-31,f,
7933343,228,2017,D2,11,2017-11-30,2017-12-08,t,
4586009,228,2017,D2,11,2017-11-30,2017-12-08,t,E
8157021,228,2017,L3,11,2017-12-01,2018-01-06,f,
4586450,228,2017,D2,11,2017-11-30,2017-12-08,t,E
8882107,228,2017,D2,11,2017-11-30,2017-12-08,f,
7635513,228,2017,D2,11,2017-11-30,2017-12-08,t,
163044,228,2017,D0,11,2017-11-13,2017-11-23,t,
5168389,228,2017,L3,20,2017-12-01,2017-12-31,f,
8937074,228,2017,L3,11,2017-12-01,2018-01-06,f,
6826714,228,2017,L3,20,2017-12-01,2017-12-31,f,
166526,228,2017,W1,11,2017-10-16,2018-01-16,f,
4817080,228,2017,D2,11,2017-11-30,2017-12-08,t,E
5926699,228,2017,D2,15,2017-11-30,2017-12-08,f,
1491313,228,2017,D2,11,2017-11-30,2017-12-08,f,
166557,228,2017,W1,11,2017-10-16,2018-01-16,f,
7439470,228,2017,L3,10,2017-12-01,2017-12-31,t,
166564,228,2017,W1,11,2017-10-16,2018-01-16,f,
6063959,228,2017,D2,15,2017-11-30,2017-12-08,f,
3062535,228,2017,L3,20,2017-12-01,2017-12-31,f,
166571,228,2017,W1,11,2017-10-16,2018-01-16,f,
7164051,228,2017,D2,04,2017-11-30,2017-12-08,t,
166588,228,2017,W1,11,2017-10-16,2018-01-16,f,
166632,228,2017,Z8,11,2017-08-10,2017-11-30,f,
166649,228,2017,Z8,11,2017-08-10,2017-11-30,f,
5896374,228,2017,D2,15,2017-11-30,2017-12-08,f,
166670,228,2017,Z8,11,2017-08-10,2017-11-30,f,
8331223,228,2017,D2,10,2017-11-30,2017-12-08,f,
9152797,228,2017,D2,10,2017-11-30,2017-12-08,f,
166694,228,2017,Z8,11,2017-08-10,2017-11-30,f,
166830,228,2017,Z8,11,2017-08-10,2017-11-30,f,
166946,228,2017,Z8,11,2017-08-10,2017-11-30,f,
166960,228,2017,Z8,11,2017-08-10,2017-11-30,f,
166977,228,2017,Z8,11,2017-08-10,2017-11-30,f,
166984,228,2017,Z8,11,2017-08-10,2017-11-30,f,
584849,228,2017,D2,10,2017-11-30,2017-12-08,f,
167004,228,2017,Z8,11,2017-08-10,2017-11-30,f,
167028,228,2017,Z8,11,2017-08-10,2017-11-30,f,
7275467,228,2017,L3,20,2017-12-01,2017-12-31,f,
167042,228,2017,W1,11,2017-10-16,2018-01-16,f,
167080,228,2017,W1,11,2017-10-16,2018-01-16,f,
8274643,228,2017,D2,20,2017-11-30,2017-12-08,t,
9870912,228,2017,L3,11,2017-12-01,2018-01-06,f,
2207487,228,2017,D2,11,2017-11-30,2017-12-08,t,E
7706664,228,2017,L3,11,2017-12-01,2018-01-06,f,
9172696,228,2017,D2,04,2017-11-30,2017-12-08,t,
1472251,228,2017,D2,25,2017-11-30,2017-12-08,t,
7441381,228,2017,L3,11,2017-12-01,2018-01-06,f,
593414,228,2017,D2,11,2017-11-30,2017-12-08,t,
9170807,228,2017,D2,11,2017-11-30,2017-12-08,t,
5126600,228,2017,D2,15,2017-11-30,2017-12-08,f,
